asset,correlation,cointegration_p_value,spread_volatility,target_asset
EOSUSDT,0.4311992606933196,0.016683943378649993,0.007275374761275519,CHRUSDT
ETCUSDT,0.4733380769403731,0.03191990079790414,0.4938259956580884,CHRUSDT
SANDUSDT,0.5023033976551283,0.0009982917665688964,0.01890755501073155,BELUSDT
ALPHAUSDT,0.3731660228897698,0.001365754313718759,0.022989675461640907,BELUSDT
CHRUSDT,0.39532312812370607,0.005163172605821413,0.020323691796417104,BELUSDT
XLMUSDT,-0.0004951851857980825,0.005287468292113382,0.02417249006201442,BELUSDT
ACHUSDT,0.3524644077339448,0.00612148234282667,0.025173405994310147,BELUSDT
TRXUSDT,-0.0003745328979136139,0.00715612450925309,0.025916358960628282,BELUSDT
ALGOUSDT,0.461741099081852,0.008107706986615473,0.023426625424288326,BELUSDT
ADAUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667,BELUSDT
BANDUSDT,0.42365263738147024,0.018055952881728884,0.030154838227663402,BELUSDT
VIDTUSDT,0.13137218337719941,0.02008129383559973,0.026986935255903316,BELUSDT
